make_model,power_kW,age,empty_weight,mileage,gearbox,gears,drivetrain,cons_avg,co_emissions,price
Opel Astra,81.0,12.0,1373.0,214000.0,Manual,6.0,Front,4.7,88.0,5000.0
Opel Corsa,64.0,11.0,1055.0,110452.0,Manual,5.0,Front,5.7,135.0,5290.0
Opel Astra,100.0,6.0,1350.0,49817.0,Manual,6.0,Front,3.9,88.0,13400.0
Opel Astra,132.0,0.0,1350.0,1.0,Automatic,8.0,Front,0.0,138.5,31500.0
Opel Corsa,55.0,10.0,1100.0,406000.0,Manual,5.0,Front,4.2,94.0,3900.0
Opel Corsa,66.0,6.0,1163.0,72090.0,Automatic,6.0,Front,5.9,135.0,11470.0
Opel Corsa,66.0,4.0,1063.0,93657.0,Automatic,5.0,Front,4.8,112.0,11300.0
Opel Corsa,55.0,10.0,1235.0,151000.0,Manual,5.0,Front,4.2,112.0,5600.0
Opel Corsa,85.0,7.0,1163.0,87550.0,Manual,6.0,Front,4.9,112.0,8990.0
Opel Astra,100.0,4.0,1350.0,113000.0,Manual,6.0,Front,3.9,88.0,14900.0
Opel Corsa,66.0,3.0,1234.0,20400.0,Manual,5.0,Front,5.5,126.0,10459.0
Opel Corsa,152.0,6.0,1293.0,51950.0,Manual,6.0,Front,7.5,178.0,17690.0
Opel Adam,110.0,7.0,1178.0,72200.0,Manual,6.0,Front,5.9,0.0,9990.0
Opel Adam,64.0,9.0,1120.0,102252.0,Manual,5.0,Front,5.3,126.0,7890.0
Opel Corsa,152.0,5.0,1293.0,60500.0,Manual,6.0,Front,7.5,178.0,14889.0
Opel Corsa,66.0,5.0,1163.0,61508.0,Manual,5.0,Front,5.1,106.5,9990.0
Opel Adam,74.0,4.0,1135.0,34500.0,Manual,5.0,Front,5.2,128.0,11849.0
Opel Corsa,66.0,7.0,1055.0,129900.0,Manual,5.0,Front,5.2,123.0,7500.0
Opel Adam,110.0,6.0,1135.0,27000.0,Manual,5.0,Front,5.9,139.0,14990.0
Opel Corsa,74.0,2.0,1055.0,8900.0,Manual,5.0,Front,4.2,96.0,16450.0
Opel Adam,110.0,3.0,1135.0,35980.0,Manual,6.0,Front,0.0,0.0,16380.0
Opel Astra,118.0,4.0,1760.0,92000.0,Manual,6.0,Front,4.1,88.0,14490.0
Opel Corsa,55.0,15.0,1265.0,252230.0,Manual,5.0,Front,4.6,94.0,2900.0
Opel Adam,85.0,5.0,1156.0,63296.0,Manual,6.0,Front,4.9,116.0,11450.0
Opel Corsa,66.0,4.0,1055.0,70000.0,Manual,5.0,Front,0.0,0.0,11890.0
Opel Corsa,66.0,3.0,1055.0,66848.0,Manual,5.0,Front,5.1,106.5,9600.0
